smiles,pKi,Ki,protein_path
O=C(c(scc1)c1NCc1ccnc2ccccc12)Nc(cc1)ccc1OC(F)(F)F,1.6197887582883939,24000.0,4wnv_meeko.pdb
C[C@H](CC[C@H]1[C@H]2C)[C@H](CC3)[C@]11OO[C@]3(C)O[C@H]1OC2=O,1.6020599913279623,25000.0,4wnv_meeko.pdb
COc(c(occ1)c1cc1C=C2)c1OC2=O,1.6020599913279623,25000.0,4wnv_meeko.pdb
CC[C@](C(C=C1N2Cc3c(CC)c4cc(O)ccc4nc13)=C(CO1)C2=O)(C1=O)O,1.585026652029182,26000.0,4wnv_meeko.pdb
c1cscc1-c1cnccc1,1.5528419686577808,28000.0,4wnv_meeko.pdb
C=CCOc1cccc(O2)c1C=CC2=O,1.5512936800949202,28100.0,4wnv_meeko.pdb
NCc1ccc(-c2cnccc2)s1,1.5316526695878427,29400.0,4wnv_meeko.pdb
COc(cc(C1Oc(cc([C@H]([C@H](C2=O)O)Oc3c2c(O)cc(O)c3)cc2)c2OC1CO)cc1)c1O,1.494850021680094,32000.0,4wnv_meeko.pdb
CN(C)c(cc1)ccc1NC(c1cc(-c2ncccc2)nc2ccccc12)=O,1.4828041020500258,32900.0,4wnv_meeko.pdb
NNC(c1ccncc1)=O,1.4436974992327127,36000.0,4wnv_meeko.pdb
C#CCOc1cccc(O2)c1C=CC2=O,1.3316140833099999,46600.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(C)=O)c(cc(cc1)C#N)c1N1Cc(c2ccccc2cc2)c2OC)C1=O)=O)NC.Cl,1.3010299956639813,50000.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(CS(C)(=O)=O)=O)c(cc(cc1)C#N)c1N1Cc2c(C)ccc3ccccc23)C1=O)=O)NC.Cl,1.3010299956639813,50000.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(CS(C)(=O)=O)=O)c(cc(cc1)C#N)c1N1Cc(c2ccccc2cc2)c2OC)C1=O)=O)NC.Cl,1.3010299956639813,50000.0,4wnv_meeko.pdb
CC(C)OC(C1)CN1C(NCc(cc1)c(C)cc1-c1nc(Nc2cn(C)nc2)ncc1)=O,1.3010299956639813,50000.0,4wnv_meeko.pdb
